calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
1 17.800000 26.961968 241.714398 3.734091 22.611859 9.099873 -0.001308 12.387232 -0.059784 0.004407 7.504916 0.026803 0.000000 0.000000 
2 17.800000 26.961968 241.714398 3.734091 22.611859 9.099873 -0.001308 12.387232 -0.059784 0.004407 0.000000 0.000000 80.000000 -30.000000 
3 17.800000 27.338598 241.367954 3.751188 12.780775 4.961232 -0.018217 7.672882 0.029905 0.001225 0.000000 0.000000 0.000000 0.000000 
1 18.000000 21.185468 237.071125 3.831597 14.009445 6.310325 -0.012366 8.304206 0.022816 0.001962 7.504916 0.080410 0.000000 0.000000 
2 18.000000 21.185468 237.071125 3.831597 14.009445 6.310325 -0.012366 8.304206 0.022816 0.001962 0.000000 0.000000 80.000000 -30.000000 
3 18.000000 22.961393 238.892913 3.790905 9.200523 3.913213 -0.016917 6.765438 0.036106 0.001254 0.000000 0.000000 0.000000 0.000000 
1 18.200000 15.788196 233.447598 3.844511 10.391428 5.329446 -0.009619 7.294304 0.027492 0.001991 9.005899 0.053607 0.000000 0.000000 
1 18.400000 7.771880 226.655452 3.871315 11.638383 6.636621 0.004324 8.012987 0.011903 0.002728 10.506882 0.026803 0.000000 0.000000 
1 18.600000 -1.178299 218.650259 3.871315 13.166447 7.646251 0.026159 9.045615 -0.012509 0.003465 12.007865 0.000000 0.000000 0.000000 
2 18.600000 -1.178299 218.650259 3.871315 13.166447 7.646251 0.026159 9.045615 -0.012509 0.003465 0.000000 0.000000 80.000000 5.000000 
3 18.600000 -0.214268 219.607873 3.863992 8.663527 4.919096 -0.014777 6.323349 0.008778 0.001109 0.000000 0.000000 0.000000 0.000000 
1 18.800000 -8.096758 212.660865 3.837189 9.876890 6.174182 -0.007308 7.203094 -0.000169 0.001846 10.506882 -0.026803 0.000000 0.000000 
1 19.000000 -17.314859 204.965708 3.837189 11.235802 7.246331 0.006898 8.312264 -0.017187 0.002583 12.007865 0.000000 0.000000 0.000000 
1 19.200000 -26.532961 197.270552 3.837189 12.857000 8.004283 0.026776 9.797813 -0.040999 0.003320 12.007865 0.000000 0.000000 0.000000 
1 19.400000 -33.446537 191.499184 3.837189 14.638730 8.587100 0.045938 11.472594 -0.063953 0.004057 9.005899 -0.000000 0.000000 0.000000 
