calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
1 8.800000 301.489124 158.557323 1.472551 3.374395 3.997751 0.005979 13.137995 0.009170 0.002248 4.398230 0.078540 0.000000 0.000000 
1 9.000000 302.064340 164.393350 1.577270 3.381681 3.929973 -0.007206 15.342209 0.009085 0.002951 5.864306 0.104720 0.000000 0.000000 
1 9.200000 302.026375 170.257533 1.681990 3.593074 3.649742 -0.024407 17.509485 0.007164 0.003655 5.864306 0.104720 0.000000 0.000000 
1 9.400000 301.375643 176.085624 1.734350 4.056326 3.297547 -0.045553 19.645676 0.003675 0.004358 5.864306 0.052360 0.000000 0.000000 
1 9.600000 299.943355 184.764693 1.786710 5.262047 2.960952 -0.082995 21.751096 -0.004538 0.005061 8.796459 0.052360 0.000000 0.000000 
1 9.800000 298.058803 193.356908 1.839070 7.188956 2.729477 -0.125921 23.849846 -0.016338 0.005764 8.796459 0.052360 0.000000 0.000000 
2 9.800000 298.058803 193.356908 1.839070 7.188956 2.729477 -0.125921 23.849846 -0.016338 0.005764 0.000000 0.000000 80.000000 0.000000 
3 9.800000 297.887505 195.091128 1.848255 3.029319 0.549196 0.013833 14.514812 0.041508 0.001040 0.000000 0.000000 0.000000 0.000000 
1 10.000000 295.478044 203.551163 1.900615 3.102375 -0.486649 0.005180 16.260458 0.038546 0.001743 8.796459 0.052360 0.000000 0.000000 
2 10.000000 295.478044 203.551163 1.900615 3.102375 -0.486649 0.005180 16.260458 0.038546 0.001743 0.000000 0.000000 80.000000 -5.000000 
3 10.000000 295.492701 201.729277 1.902789 2.765190 -0.272724 0.020198 11.433863 0.036334 0.001063 0.000000 0.000000 0.000000 0.000000 
1 10.200000 293.581361 207.273361 1.955149 2.886991 -1.268426 0.014422 13.174203 0.033997 0.001766 5.864306 0.052360 0.000000 0.000000 
1 10.400000 290.832767 214.068929 2.033689 3.213434 -2.381714 0.002841 14.735884 0.028218 0.002469 7.330383 0.078540 0.000000 0.000000 
2 10.400000 290.832767 214.068929 2.033689 3.213434 -2.381714 0.002841 14.735884 0.028218 0.002469 0.000000 0.000000 80.000000 35.000000 
3 10.400000 290.235395 215.604481 2.041232 2.786597 -1.464199 0.013513 11.438866 0.044225 0.001057 0.000000 0.000000 0.000000 0.000000 
1 10.600000 286.912720 222.138571 2.119772 3.259323 -2.748685 0.006904 12.720604 0.040182 0.001760 7.330383 0.078540 0.000000 0.000000 
2 10.600000 286.912720 222.138571 2.119772 3.259323 -2.748685 0.006904 12.720604 0.040182 0.001760 0.000000 0.000000 80.000000 30.000000 
3 10.600000 286.942620 222.146575 2.116699 2.826063 -1.809704 0.011955 10.231348 0.046233 0.001065 0.000000 0.000000 0.000000 0.000000 
1 10.800000 282.375591 229.664550 2.169059 3.407973 -3.192810 0.004213 11.304956 0.040957 0.001768 8.796459 0.052360 0.000000 0.000000 
2 10.800000 282.375591 229.664550 2.169059 3.407973 -3.192810 0.004213 11.304956 0.040957 0.001768 0.000000 0.000000 80.000000 25.000000 
3 10.800000 283.053479 228.122332 2.174750 2.900549 -2.234215 0.008838 9.213643 0.044943 0.001149 0.000000 0.000000 0.000000 0.000000 
1 11.000000 278.057957 235.362668 2.227110 3.654183 -3.617852 0.000832 10.148242 0.038777 0.001852 8.796459 0.052360 0.000000 0.000000 
1 11.200000 274.479554 240.008646 2.279470 4.617472 -4.851753 -0.007413 11.150233 0.031709 0.002555 5.864306 0.052360 0.000000 0.000000 
1 11.400000 268.754577 246.687144 2.331830 5.864376 -6.011217 -0.023688 12.015731 0.016209 0.003258 8.796459 0.052360 0.000000 0.000000 
1 11.600000 264.710139 250.933626 2.384190 7.272340 -7.020422 -0.036815 12.977556 0.002326 0.003961 5.864306 0.052360 0.000000 0.000000 
2 11.600000 264.710139 250.933626 2.384190 7.272340 -7.020422 -0.036815 12.977556 0.002326 0.003961 0.000000 0.000000 80.000000 -25.000000 
3 11.600000 263.507353 252.985716 2.377928 5.128404 -4.558865 -0.000567 8.612204 0.021705 0.000931 0.000000 0.000000 0.000000 0.000000 
1 11.800000 258.212568 258.055210 2.456468 6.475816 -5.712219 -0.004885 9.278666 0.016421 0.001634 7.330383 0.078540 0.000000 0.000000 
2 11.800000 258.212568 258.055210 2.456468 6.475816 -5.712219 -0.004885 9.278666 0.016421 0.001634 0.000000 0.000000 80.000000 -30.000000 
3 11.800000 259.000743 257.256423 2.442472 5.013776 -3.872530 0.004168 6.657996 0.019476 0.000896 0.000000 0.000000 0.000000 0.000000 
1 12.000000 253.390008 261.973856 2.521011 6.453895 -5.000779 0.000350 7.203177 0.014135 0.001599 7.330383 0.078540 0.000000 0.000000 
2 12.000000 253.390008 261.973856 2.521011 6.453895 -5.000779 0.000350 7.203177 0.014135 0.001599 0.000000 0.000000 80.000000 35.000000 
3 12.000000 253.272390 261.605906 2.556075 5.114051 -3.794373 -0.005090 5.993458 0.028294 0.000882 0.000000 0.000000 0.000000 0.000000 
1 12.200000 245.941191 266.467102 2.608435 6.812595 -4.817589 -0.009034 6.185001 0.021612 0.001585 8.796459 0.052360 0.000000 0.000000 
2 12.200000 245.941191 266.467102 2.608435 6.812595 -4.817589 -0.009034 6.185001 0.021612 0.001585 0.000000 0.000000 80.000000 35.000000 
3 12.200000 246.990501 265.737346 2.602378 5.466961 -3.765615 -0.010761 5.269027 0.030610 0.000958 0.000000 0.000000 0.000000 0.000000 
1 12.400000 240.700209 269.501218 2.680918 7.316496 -4.652267 -0.013882 5.344101 0.024321 0.001661 7.330383 0.078540 0.000000 0.000000 
1 12.600000 234.133998 272.759957 2.707098 9.232253 -5.442890 -0.019007 5.484821 0.013278 0.002364 7.330383 0.026180 0.000000 0.000000 
